Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Arseneault et al. (2012),"J. Arseneault, N. J. Fenton and Y. Bergeron",2012,Effects of variable canopy retention harvest on epixylic bryophytes in boreal black spruce - feathermoss forests,Canadian Journal of Forest Research,42,1467-1476,English,,Canada,Quebec,Fénelon; Gaudet; Puiseaux,Réseau d’expérimentation des coupes partielles en Abitibi (RECPA),49.60-49.99 N,78.56-78.97 W,49.8,-78.76,,Coniferous,Picea mariana,,,,CI,3,PART,"Partial harvesting (variable canopy retention), 24-37% retention. (Study also reports on low-retention harvesting.)","DeadAbunt, DeadDv, BryoRich, BryoAbuns",,Bryophytes,,"Low retention (24%) at Fénelon and Gaudet, but mean retention at all three sites exceeds 25%. Site coordinates from Fauteaux et al. (2012).",http://scholar.google.co.uk/scholar?q=Effects+of+variable+canopy+retention+harvest+on+epixylic+bryophytes+in+boreal+black+spruce+-+feathermoss+forests&btnG=&hl=en&as_sdt=0%2C5
Fenton and Bergeron (2007),N. J. Fenton and Y. Bergeron,2007,Sphagnum community change after partial harvest in of black spruce boreal forests,Forest Ecology and Management,242,24-33,English,,Canada,Quebec,Fénelon; Gaudet; Puiseaux,,49.60-49.99 N,78.56-78.97 W,49.8,-78.76,,Coniferous (peatland forest),Picea mariana,120,O,Regenerated after fire,CI,3,PART,"Partial harvesting, 31-37% retention. (Study also reports on low-retention harvesting.)","BryoAbuns, BryoAbunt, BryoPerf","Sphagnum capillifolium, Sphagnum magellanicum, Sphagnum russowii, Sphagnum fallax, Sphagnum fuscum (peat mosses)",,,Site coordinates from Fauteaux et al. (2012).,http://scholar.google.co.uk/scholar?q=Sphagnum+community+change+after+partial+harvest+in+of+black+spruce+boreal+forests&btnG=&hl=en&as_sdt=0%2C5
Fauteux et al. (2012),"D. Fauteux, L. Imbeau, P. Drapeau and M. J. Mazerolle",2012,Small mammal responses to coarse woody debris distribution at different spatial scales in managed and unmanaged boreal forests,Forest Ecology and Management,266,194-205,English,,Canada,Quebec,Fénelon; Gaudet; Puiseaux; Cramolet,,49.24-49.99 W,77.51-78.97 W,49.8,-78.76,,Coniferous,Picea mariana,,,,CI,4,PART,"Partial harvesting, about 30% retention. (Study also reports on clearcutting.)","MammAbuns, TreeAbunt, DeadAbunt, DeadDv",,Small mammals,,,http://scholar.google.co.uk/scholar?q=Small+mammal+responses+to+coarse+woody+debris+distribution+at+different+spatial+scales+in+managed+and+unmanaged+boreal+forests&btnG=&hl=en&as_sdt=0%2C5
Paradis and Work (2011),S. Paradis and T. T. Work,2011,Partial cutting does not maintain spider assemblages within the observed range of natural variability in Eastern Canadian black spruce forests,Forest Ecology and Management,262,2079-2093,English,,Canada,Quebec,Fénelon; Gaudet; Puiseaux; Cramolet,Réseau d’expérimentation des coupes partielles en Abitibi (RECPA),49.24-49.99 W,77.51-78.97 W,49.8,-78.76,255-280,Coniferous,Picea mariana,100-233,,,CI,4 (but highly varying levels of retention),PART,"Partial harvesting, 16-73% retention. (Study also reports on low-retention harvesting and clearcutting.)","ArthAbuns, ArthComp",,Spiders,,"Low retention (16%) at Fénelon, but mean retention at all sites exceeds 25%. Site coordinates from Fauteaux et al. (2012).",http://scholar.google.co.uk/scholar?q=Partial+cutting+does+not+maintain+spider+assemblages+within+the+observed+range+of+natural+variability+in+Eastern+Canadian+black+spruce+forests&btnG=&hl=en&as_sdt=0%2C5
Boudreault et al. (2013a),"C. Boudreault, D. Coxson, Y. Bergeron, S. Stevenson and M. Bouchard",2013,Do forests treated by partial cutting provide growth conditions similar to old-growth forests for epiphytic lichens?,Biological Conservation,159,458-467,English,,Canada,Quebec,Fénelon; Muskuchii; Maïcasagi,,49.99-50.20 N,76.34-78.97 W,49.8,-78.76,,Coniferous,Picea mariana,Old-growth,,,CI,3 (but highly varying levels of retention),PART,"Partial harvesting, 15-55% retention","TreeAbunt, LichPerf","Evernia mesomorpha, Bryoria nadvornikiana (epiphytic lichens)",,,"Low retention (15%) at one site, but mean retention at all sites exceeds 25%. Site coordinates from Bescond et al. (2011) and Fauteaux et al. (2012). Map in article probably incorrect.",http://scholar.google.co.uk/scholar?q=Do+forests+treated+by+partial+cutting+provide+growth+conditions+similar+to+old-growth+forests+for+epiphytic+lichens?&btnG=&hl=en&as_sdt=0%2C5
Boudreault et al. (2013b),"C. Boudreault, S. Zouaoui, P. Drapeau, Y. Bergeron and S. Stevenson",2013,Canopy openings created by partial cutting increase growth rates and maintain the cover of three Cladonia species in the Canadian boreal forest,Forest Ecology and Management,304,473-481,English,,Canada,Quebec,Fénelon; Muskuchii; Maïcasagi,,49.99-50.20 N,76.34-78.97 W,49.8,-78.76,,Coniferous,Picea mariana,> 120,,Regenerated after fire in 1725-1850,CI,3 (but highly varying levels of retention),PART,"Partial harvesting, 15-55% retention. (Study also reports on clearcutting.)","TreeAbunt, LichAbuns, LichPerf","Cladonia mitis, Cladonia rangiferina, Cladonia stellaris (lichens)",,,"Low retention (15%) at Fénelon, but mean retention at all sites exceeds 25%. Site coordinates from Bescond et al. (2011) and Fauteaux et al. (2012). Map in article probably incorrect.",http://scholar.google.co.uk/scholar?q=Canopy+openings+created+by+partial+cutting+increase+growth+rates+and+maintain+the+cover+of+three+Cladonia+species+in+the+Canadian+boreal+forest&btnG=&hl=en&as_sdt=0%2C5
Major and Desrochers (2013),M. Major and A. Desrochers,2013,Wildlife-mitigated precommercial thinning maintains the abundance of fruit shrubs in a boreal forest,Canadian Journal of Forest Research,43,306-310,English,,Canada,Quebec,Forêt Montmorency,,47.33 N,71.17 W,47.33,-71.17,612-902,Mixed,"Abies balsamea, Betula papyrifera",7-20,,Regenerated after clearcutting 1988-2001,CI,15,THIN,"Precommercial thinning, wildlife-mitigated","VascAbuns, VascAbunt",,Fruit shrubs,,,http://scholar.google.co.uk/scholar?q=Wildlife-mitigated+precommercial+thinning+maintains+the+abundance+of+fruit+shrubs+in+a+boreal+forest&btnG=&hl=en&as_sdt=0%2C5
Stone et al. (2008),"I. Stone, J.-P. Ouellet, L. Sirois, M.-J. Arseneau and M.-H. St-Laurent",2008,Impacts of silvicultural treatments on arboreal lichen biomass in balsam fir stands on Québec’s Gaspé Peninsula: Implications for a relict caribou herd,Forest Ecology and Management,255,2733-2742,English,1,Canada,Quebec,Gaspe? Peninsula (Lac Solitaire; Canton Lesseps),,48.75-49.08 N,65.33-66.50 W,48.9,-65.4,700-900,Coniferous,Abies balsamea,Old-growth,,,BACI,1-3,PART,"Partial harvesting (2 methods and 3 levels), 65-75% retention. (Study also reports on low-retention harvesting.)",LichAbunt,,Macrolichens,,Study of lichen litterfall,http://scholar.google.co.uk/scholar?q=Impacts+of+silvicultural+treatments+on+arboreal+lichen+biomass+in+balsam+fir+stands+on+Québec’s+Gaspé+Peninsula:+Implications+for+a+relict+caribou+herd&btnG=&hl=en&as_sdt=0%2C5
Stone et al. (2008),"I. Stone, J.-P. Ouellet, L. Sirois, M.-J. Arseneau and M.-H. St-Laurent",2008,Impacts of silvicultural treatments on arboreal lichen biomass in balsam fir stands on Québec’s Gaspé Peninsula: Implications for a relict caribou herd,Forest Ecology and Management,255,2733-2742,English,2,Canada,Quebec,Gaspe? Peninsula (Mont Auclair),,48.75-49.08 N,65.33-66.50 W,48.9,-65.4,700-900,Coniferous,Abies balsamea,Old-growth,,,BA,2 (1 at each of 2 elevations),PART,"Partial harvesting, 70% retention","LichAbuns, LichAbunt",,Macrolichens,,Study of standing lichen biomass,http://scholar.google.co.uk/scholar?q=Impacts+of+silvicultural+treatments+on+arboreal+lichen+biomass+in+balsam+fir+stands+on+Québec’s+Gaspé+Peninsula:+Implications+for+a+relict+caribou+herd&btnG=&hl=en&as_sdt=0%2C5
Doyon et al. (2005),"F. Doyon, D. Gagnon and J. F. Giroux",2005,Effects of strip and single-tree selection cutting on birds and their habitat in a southwestern Quebec northern hardwood forest,Forest Ecology and Management,209,101-115,English,,Canada,Quebec,Gatineau Experimental Forest ,,45.75 N,76.08 W,45.75,-76.08,,Mixed; broadleaf,"Acer saccharum, Fagus grandifolia, Betula alleghaniensis, Tilia americana, Fraxinus americana",Mature,,,CI,1,PART,"Single-tree selection harvesting, 65-75% retention. (Study also reports on strip cutting.)","BirdAbuns, BirdAbunt, TreeAbunt, TreeRich, VascAbunt, BryoAbunt, VertDiam, VertLayer, HorizPatch, DeadAbunt, DeadDv",,Birds,Vertical and horizontal stand structure,,http://scholar.google.co.uk/scholar?q=Effects+of+strip+and+single-tree+selection+cutting+on+birds+and+their+habitat+in+a+southwestern+Quebec+northern+hardwood+forest&btnG=&hl=en&as_sdt=0%2C5
Bescond et al. (2011),"H. Bescond, N. J. Fenton and Y. Bergeron",2011,Partial harvests in the boreal forest: Response of the understory vegetation five years after harvest,Forestry Chronicle,87,86-98,English,,Canada,Quebec,Gaudet; Muskuchii; Maïcasagi; Dufay,,48.07-50.20 N,76.34-79.40 W,49.8,-78.76,,Coniferous,Picea mariana,> 120,,Regenerated after fire in 1725-1850,CI,4 (but highly varying levels of retention),PART,"Partial harvesting (2 varieties), 17-55% retention. (Study also reports on low-retention harvesting.)","TreeAbuns, TreeAbunt, TreeComp, DeadAbunt, DeadDv, VascRich, VascDiv, VascAbuns, VascComp, BryoAbuns, BryoComp, LichAbuns, LichComp",,Trees and other vascular plants,,"Low retention (17%) at Gaudet, but mean retention at all sites exceeds 25%",http://scholar.google.co.uk/scholar?q=Partial+harvests+in+the+boreal+forest:+Response+of+the+understory+vegetation+five+years+after+harvest&btnG=&hl=en&as_sdt=0%2C5
Graham-Sauvé et al. (2013),"L. Graham-Sauvé, T. T. Work, D. Kneeshaw and C. Messier",2013,Shelterwood and multicohort management have similar initial effects on ground beetle assemblages in boreal forests,Forest Ecology and Management,306,266-274,English,,Canada,Quebec,Haute-Mauricie region,TRIADE,47.44 N,72.77 W,47.44,-72.77,,Mixed,"Abies balsamea, Betula alleghaniensis",85,O,Regenerated after wildfire in 1923,CI,5,PART,"Partial harvesting (shelterwood and multicohort), 50 and 66% retention, respectively. (Study also reports on clearcutting.)","BeetgAbunt, BeetgRich, BeetgComp",,Ground beetles,,,http://scholar.google.co.uk/scholar?q=Shelterwood+and+multicohort+management+have+similar+initial+effects+on+ground+beetle+assemblages+in+boreal+forests&btnG=&hl=en&as_sdt=0%2C5
Turcotte (2008),E. Turcotte,2008,Sensibilité aux perturbations et microhabitat des orchidées goodyera en forêt boréale méridionale du Québec,Université du Quebéc à Montréal (thesis),2008,,French,,Canada,Quebec,Lac Duparquet,Sylviculture et ame?nagement forestiers e?cosyste?mique (SAFE),48.50 N,79.42 W,48.5,-79.4,270,Mixed,"Populus tremuloides, Betula papyrifera, Picea glauca, Abies balsamea",140,O,Regenerated after wildfire > 100 years ago,CI,3-9,PART,Partial harvesting,"VascAbuns, VascAbunt, VascComp, VascPerf, BryoAbunt, BryoComp","Goodyera repens, Goodyera tesselata (orchids)",,,,http://scholar.google.co.uk/scholar?q=Sensibilité+aux+perturbations+et+microhabitat+des+orchidées+goodyera+en+forêt+boréale+méridionale+du+Québec&btnG=&hl=en&as_sdt=0%2C5
Haeussler et al. (2007),"S. Haeussler, Y. Bergeron, S. Brais and B. D. Harvey",2007,Natural dynamics-based silviculture for maintaining plant biodiversity in Populus tremuloides-dominated boreal forests of eastern Canada,Canadian Journal of Botany,85,1158-1170,English,,Canada,Quebec,Lac Duparquet Research and Teaching Forest ,Sylviculture et ame?nagement forestiers e?cosyste?mique (SAFE),48.5 N,79.4 W,48.5,-79.4,,Broadleaf,Populus tremuloides,75 (I),,Regenerated after fire in 1923,CI,3,PART,"Partial harvesting, 39 and 67% retention. (Study also reports on clearcutting.)","VascComp, VascRich, VascDiv, VascAbunt, InvasAbunt, BryoAbunt, BryoRich, LichAbunt, LichRich",,Vascular plants; bryophytes; lichens,,,http://scholar.google.co.uk/scholar?q=Natural+dynamics-based+silviculture+for+maintaining+plant+biodiversity+in+Populus+tremuloides-dominated+boreal+forests+of+eastern+Canada&btnG=&hl=en&as_sdt=0%2C5
Klimaszewski et al. (2005),"J. Klimaszewski, D. W. Langor, T. T. Work, G. Pelletier, H. E. Hammond and C. Germain",2005,"The effects of patch harvesting and site preparation on ground beetles (Coleoptera, Carabidae) in yellow birch dominated forests of southeastern Quebec",Canadian Journal of Forest Research,35,2616-2628,English,,Canada,Quebec,Lac Poissonneux; Lac des Étangs,Silvicultural System Adapted to Mixedwoods,46.97-47.03 N,72.05-72.12 W,47,-72.09,300–400,Mixed,"Betula alleghaniensis, Abies balsamea, Picea rubens",Early-successional,,,CI,4 (2 at each of 2 sites),PART,"Gap felling (0.06, 0.13 and 0.25 ha gaps), 65% retention. (Study also reports on clearcutting and scarification.)","BeetgAbuns, BeetgAbunt, BeetgRich, BeetgComp",,Carabids,,,"http://scholar.google.co.uk/scholar?q=The+effects+of+patch+harvesting+and+site+preparation+on+ground+beetles+(Coleoptera,+Carabidae)+in+yellow+birch+dominated+forests+of+southeastern+Quebec&btnG=&hl=en&as_sdt=0%2C5"
Klimaszewski et al. (2008),"J. Klimaszewski, D. W. Langor, T. T. Work, J. H. E. Hammond and K. Savard",2008,"Smaller and more numerous harvesting gaps emulate natural forest disturbances: a biodiversity test case using rove beetles (Coleoptera, Staphylinidae)",Diversity and Distributions,14,969-982,English,,Canada,Quebec,Lac Poissonneux; Lac des Étangs,Silvicultural System Adapted to Mixedwoods,46.97-47.03 N,72.05-72.12 W,47,-72.09,300-400,Mixed,"Betula alleghaniensis, Abies balsamea, Picea rubens",Early-successional,,,CI,4 (2 at each of 2 sites),PART,"Gap felling (0.06, 0.13 and 0.25 ha gaps), 65% retention. (Study also reports on clearcutting and scarification.)","BeetgAbuns, BeetgAbunt, BeetgRich, BeetgComp",,Rove beetles (Staphylinidae),,,"http://scholar.google.co.uk/scholar?q=Smaller+and+more+numerous+harvesting+gaps+emulate+natural+forest+disturbances:+a+biodiversity+test+case+using+rove+beetles+(Coleoptera,+Staphylinidae)&btnG=&hl=en&as_sdt=0%2C5"
Prévost et al. (2010),"M. Prévost, P. Raymond and J.-M. Lussier",2010,Regeneration dynamics after patch cutting and scarification in yellow birch - conifer stands,Canadian Journal of Forest Research,40,357-369,English,,Canada,Quebec,Lac Poissonneux; Lac des E?tangs,Silvicultural System Adapted to Mixedwoods,46.97-47.03 N,72.05-72.12 W,47,-72.09,,Mixed,"Betula alleghaniensis, Abies balsamea, Picea rubens",,,,CI,4 (2 at each of 2 sites),PART,"Gap felling (0.03, 0.07 and 0.13 ha gaps) with single-tree selection harvesting between gaps, giving an overall retention of 55%. (Study also reports on clearcutting and scarification.)","TreeAbuns, VascAbuns",,Trees and other vascular plants (regeneration),,Site coordinates from Klimaszewski et al. (2005),http://scholar.google.co.uk/scholar?q=Regeneration+dynamics+after+patch+cutting+and+scarification+in+yellow+birch+-+conifer+stands&btnG=&hl=en&as_sdt=0%2C5
Harvey and Brais (2007),B. D. Harvey and S. Brais,2007,Partial cutting as an analogue to stem exclusion and dieback in trembling aspen (Populus tremuloides) dominated boreal mixedwoods: Implications for deadwood dynamics,Canadian Journal of Forest Research,37,1525-1533,English,,Canada,Quebec,"Lake Duparquet Research and Teaching Forest, Abitibi region",Sylviculture et ame?nagement forestiers e?cosyste?mique (SAFE),48.5 N,79.4 W,48.5,-79.4,,Broadleaf,Populus tremuloides,75,,Regenerated after fire in 1923,CI,3,PART,"Partial harvesting, 39 and 67% retention","VertDiam, DeadAbuns, DeadDv, TreeAbunt, TreeMort",,,Vertical stand structure; dead wood,Published site latitude incorrect,http://scholar.google.co.uk/scholar?q=Partial+cutting+as+an+analogue+to+stem+exclusion+and+dieback+in+trembling+aspen+(Populus+tremuloides)+dominated+boreal+mixedwoods:+Implications+for+deadwood+dynamics&btnG=&hl=en&as_sdt=0%2C5
Kebli et al. (2012),"H. Kebli, S. Brais, G. Kernaghan and P. Drouin",2012,Impact of harvesting intensity on wood-inhabiting fungi in boreal aspen forests of Eastern Canada,Forest Ecology and Management,279,45-54,English,,Canada,Quebec,"Lake Duparquet Research and Teaching Forest, Abitibi region",Sylviculture et ame?nagement forestiers e?cosyste?mique (SAFE),48.5 N,79.4 W,48.5,-79.4,,Broadleaf,Populus tremuloides,75,,Regenerated after fire in 1923,CI,3,PART,"Partial harvesting, 39 and 67% retention. (Study also reports on clearcutting.)","FungRich, FungDiv, FungAbuns, DeadAbunt, DeadDv",,Fungi,Dead wood,Published site latitude incorrect,http://scholar.google.co.uk/scholar?q=Impact+of+harvesting+intensity+on+wood-inhabiting+fungi+in+boreal+aspen+forests+of+Eastern+Canada&btnG=&hl=en&as_sdt=0%2C5
Kebli et al. (2014),"H. Kebli, G. Kernaghan, P. Drouin and S. Brais",2014,Development and activity of early saproxylic fungal communities in harvested and unmanaged boreal mixedwood stands,European Journal of Forest Research,133,905-918,English,,Canada,Quebec,"Lake Duparquet Research and Teaching Forest, Abitibi region",Sylviculture et ame?nagement forestiers e?cosyste?mique (SAFE),48.5 N,79.4 W,48.5,-79.4,,Mixed; broadleaf,"Populus tremuloides, Picea glauca, Abies balsamea",,,Regenerated after fire in 1910 or 1923,CI,3,"ADD, PART","Addition of dead wood; single-tree or group selection harvesting, 39, 50-60 and 67% retention. (Study also reports on burned clearcuts.)","TreeAbunt, DeadAbunt, FungComp, FungAbuns, FungAbunt",,Fungi (colonisation of added dead wood),,Published site latitude incorrect,http://scholar.google.co.uk/scholar?q=Development+and+activity+of+early+saproxylic+fungal+communities+in+harvested+and+unmanaged+boreal+mixedwood+stands&btnG=&hl=en&as_sdt=0%2C5
De Grandpré et al. (2011),"L. De Grandpré, D. Boucher, Y. Bergeron and D. Gagnon",2011,Effects of small canopy gaps on boreal mixedwood understory vegetation dynamics,Community Ecology,12,67-77,English,,Canada,Quebec,"Lake Duparquet, Abitibi region",,48.5 N,79.4 W,48.5,-79.4,,Coniferous; mixed,"Populus tremuloides, Picea glauca, Abies balsamea, Thuja occidentalis",122 or 232,O,Regenerated after fire in 1760 or 1870,CI,3 in each of 2 stand types,"CREA, PART","Girdling of trees; gap felling (complete or partial, 0.01 ha gaps)","TreeAbuns, VascAbunt, VascRich, VascDiv, VascComp",,Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Effects+of+small+canopy+gaps+on+boreal+mixedwood+understory+vegetation+dynamics&btnG=&hl=en&as_sdt=0%2C5
De Grandpré and Bergeron (1997),L. De Grandpré and Y. Bergeron,1997,Diversity and stability of understorey communities following disturbance in the southern boreal forest,Journal of Ecology,85,777-784,English,,Canada,Quebec,"Lake Duparquet,
Abitibi region",,48.5 N,79.4 W,48.5,-79.4,,Mixed,,48-232,O,Regenerated after fire,BACI,6 (1 for each of 6 stand ages),PART,Gap felling (0.04 ha gaps),"VascComp, VascAbunt, VascRich, VascDiv",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Diversity+and+stability+of+understorey+communities+following+disturbance+in+the+southern+boreal+forest&btnG=&hl=en&as_sdt=0%2C5
Légaré et al. (2011),"J.-P. Légaré, C. Hébert and J.-C. Ruel",2011,Alternative silvicultural practices in irregular boreal forests: Response of beetle assemblages,Silva Fennica,45,937-956,English,,Canada,Quebec,Manicouagan reservoir sector,,50.4-51.3 N,68.0-69.4 W,50.9,-68.7,,Coniferous,"Picea mariana, Abies balsamea",Old-growth,,,CI,4,PART,"Partial harvesting (2 varieties of selection cutting, SCPerm and SCTemp), 56-57% retention of merchantable volume. (Study also reports on low-retention harvesting.)","BeetsAbunt, BeetsRich, BeetsComp, BeetsAbuns, BeetoAbunt, BeetoRich, BeetoComp, BeetoAbuns, TreeAbuns, TreeAbunt, BryoAbuns, BryoAbunt, VascAbunt, DeadAbunt, DeadDv",,Beetles,Dead wood,Published site coordinates confuse minutes of arcs with decimals of degrees.,http://scholar.google.co.uk/scholar?q=Alternative+silvicultural+practices+in+irregular+boreal+forests:+Response+of+beetle+assemblages&btnG=&hl=en&as_sdt=0%2C5
Archambault et al. (2003),"L. Archambault, J. Bégin, C. Delisle and M. Fortin",2003,"Dynamique forestière après coupe partielle dans la Forêt expérimentale du Lac Édouard, Parc de la Mauricie, Québec (Forest dynamics following a partial cut in the Lac Édouard Experimental Forest, Mauricie Park, Quebec)",Forestry chronicle,79,672-684,French,,Canada,Quebec,Mauricie National Park (Lac Édouard Experimental Forest),,46.75 N,72.93 W,46.75,-72.93,431 (mean),Mixed,"Picea rubens, Abies balsamea, Betula papyrifera, Acer saccharum",,,,BACI,1-15 in each of 3 stand types,PART,"Partial harvesting, 55-70 and 70-85% retention","TreeAbuns, TreeAbunt, VertHeight, VertDiam, VertAge",,Trees,Vertical stand structure,,"http://scholar.google.co.uk/scholar?q=Dynamique+forestière+après+coupe+partielle+dans+la+Forêt+expérimentale+du+Lac+Édouard,+Parc+de+la+Mauricie,+Québec&btnG=&hl=en&as_sdt=0%2C5"
Angers et al. (2005),"V. A. Angers, C. Messier, M. Beaudet and A. Leduc",2005,Comparing composition and structure in old-growth and harvested (selection and diameter-limit cuts) northern hardwood stands in Quebec,Forest Ecology and Management,217,275-293,English,,Canada,Quebec,Outaouais region,,45.72-46.10 N,75.00-75.85 W,45.9,-75.4,350-400,Broadleaf,"Acer saccharum, Fagus grandifolia",Old-growth,,,CI,6,PART,Single-tree selection and diameter-limit harvesting,"DeadAbunt, DeadDv, HorizGap, VertLayer, VertDiam, TreeAbuns, TreeAbunt, TreePerf",,Trees,Vertical and horizontal stand structure; dead wood,,http://scholar.google.co.uk/scholar?q=Comparing+composition+and+structure+in+old-growth+and+harvested+(selection+and+diameter-limit+cuts)+northern+hardwood+stands+in+Quebec&btnG=&hl=en&as_sdt=0%2C5
Collard et al. (2010),"A. Collard, L. Lapointe, J.-P. Ouellet, M. Crête, A. Lussier, C. Daigle and S. D. Côté",2010,Slow responses of understory plants of maple-dominated forests to white-tailed deer experimental exclusion,Forest Ecology and Management,260,649-662,English,,Canada,Quebec,Yamaska National Park; Mont-Orford National Park; Dunham; Georgeville,,45.10-45.43 N,72.17-72.70 W,45.26,-72.44,175-274,Broadleaf,"Acer rubrum, Acer saccharum, Fagus grandifolia, Fraxinus americana, Betula alleghaniensis, Prunus serotina, Picea rubens, Pinus strobus, Tsuga canadensis, Abies balsamea, Juglans cinerea",,,,CI,6,GRAZ ,Exclusion of white-tailed deer,"VascAbuns, VascAbunt, VascPerf, VascRich, TreeAbunt",,Ground vegetation,,,http://scholar.google.co.uk/scholar?q=Slow+responses+of+understory+plants+of+maple-dominated+forests+to+white-tailed+deer+experimental+exclusion&btnG=&hl=en&as_sdt=0%2C5
Turkington et al. (2002),"R. Turkington, E. John, S. Watson and P. Seccombe-Hett",2002,The effects of fertilization and herbivory on the herbaceous vegetation of the boreal forest in north-western Canada: a 10-year study,Journal of Ecology,90,325-337,English,,Canada,Yukon,Kluane Lake,,61.03 N,138.37 W,61.03,-138.37,,Coniferous,Picea glauca,,,Probably regenerated after fire in 1872,BACI,8 (4 at each of 2 sites),GRAZ,"Exclusion of grazers, mainly snowshoe hares. (Study also reports on fertilisation.)","VascAbuns, VascRich, VascDiv, VascComp, BryoAbunt",,Vascular plants (in small meadows),,,http://scholar.google.co.uk/scholar?q=The+effects+of+fertilization+and+herbivory+on+the+herbaceous+vegetation+of+the+boreal+forest+in+north-western+Canada:+a+10-year+study&btnG=&hl=en&as_sdt=0%2C5
Turkington et al. (2014),"R. Turkington, J. R. McLaren and M. R. T. Dale",2014,Herbaceous community structure and function in the Kluane region,Arctic,67,98-107,English,,Canada,Yukon,Kluane Lake,,61.03 N,138.37 W,61.03,-138.37,,Coniferous,Picea glauca,,,Probably regenerated after fire in 1872,CI,8 (4 at each of 2 sites),GRAZ,"Exclusion of grazers, mainly snowshoe hares. (Study also reports on fertilisation.)","VascRich, VascAbuns",,Vascular plants (in small meadows),,Site coordinates from Turkington et al. (2002),http://scholar.google.co.uk/scholar?q=Herbaceous+community+structure+and+function+in+the+Kluane+region&btnG=&hl=en&as_sdt=0%2C5
Vergara and Schlatter (2008),P. M. Vergara and R. P. Schlatter,2008,Conservation of birds in evergreen Chilean forests: the effect of partial cutting systems,Wildlife Research,35,134-139,English,,Chile,,Rupanco Lake,,39.83 S,73.50 W,-39.83,-73.5,,Broadleaf,"Aextoxicon punctatum, Laureliopsis philipiana, Laureliopsis sempervirens, Eucryphia cordifolia",Old-growth,,,CI,1,PART,"Partial harvesting (shelterwood cutting), 45 and 65% retention. (Study also reports on strip clearcutting.)","BirdAbuns, BirdAbunt, BirdRich",,Birds,,,http://scholar.google.co.uk/scholar?q=Conservation+of+birds+in+evergreen+Chilean+forests:+the+effect+of+partial+cutting+systems&btnG=&hl=en&as_sdt=0%2C5
Su et al. (2010),"D. Su, D. Yu, L. I. Zhou, X. Xie, Z. Liu and L. Dai",2010,"Differences in the structure, species composition and diversity of primary and harvested forests on Changbai Mountain, Northeast China",Journal of Forest Science,56,285-293,English,,China,Jilin,Changbai Mountain,,42.5 N,128.0 E,42.5,128,450-1400,Mixed,"Pinus koraiensis, Tilia mandshurica, Quercus mongolica, Fraxinus mandshurica, Ulmus propinqua, Acer mono",,,,CI,1,PART,"Partial harvesting, 70% retention","VertLayer, TreeAbuns, TreeRich, TreeDiv",,Trees,Vertical stand structure,,"http://scholar.google.co.uk/scholar?q=Differences+in+the+structure,+species+composition+and+diversity+of+primary+and+harvested+forests+on+Changbai+Mountain,+Northeast+China&btnG=&hl=en&as_sdt=0%2C5"
Yan et al. (2010),"Q. L. Yan, J. J. Zhu, J. P. Zhang, L. Z. Yu and Z. B. Hu",2010,"Spatial distribution pattern of soil seed bank in canopy gaps of various sizes in temperate secondary forests, Northeast China",Plant and Soil,329,469-480,English,,China,Liaoning,Qingyuan Experimental Station of Forest Ecology,,41.85 N,124.90 E,41.85,124.9,500-1100,Broadleaf,"Fraxinus rhynchophylla, Acer mono, Quercus mongolica",,,Naturally regenerated since the 1950s,CI,2-5 per gap size,PART,"Gap felling (< 0.015, 0.015-0.05 and > 0.05 ha gaps)","TreeAbuns, VascAbuns, VascAbunt, VascRich, VascComp",,Trees and other vascular plants (seed bank),,,"http://scholar.google.co.uk/scholar?q=Spatial+distribution+pattern+of+soil+seed+bank+in+canopy+gaps+of+various+sizes+in+temperate+secondary+forests,+Northeast+China&btnG=&hl=en&as_sdt=0%2C5"
Yan et al. (2012),"Q. L. Yan, J. J. Zhu and L. Z. Yu",2012,"Seed regeneration potential of canopy gaps at early formation stage in temperate secondary forests, Northeast China",PLoS ONE,7 (6): e39502,,English,,China,Liaoning,Qingyuan Experimental Station of Forest Ecology,,41.85 N,124.90 E,41.85,124.9,721-775,Broadleaf,"Fraxinus rhynchophylla, Acer mono, Quercus mongolica",,,Naturally regenerated after wildfire and harvesting in the 1950s,CI,2-5 per gap size,PART,"Gap felling (< 0.015, 0.015-0.05 and > 0.05 ha gaps)","TreeAbuns, TreeAbunt, TreeComp, TreeDiv",,Trees (seed bank),,,"http://scholar.google.co.uk/scholar?q=Seed+regeneration+potential+of+canopy+gaps+at+early+formation+stage+in+temperate+secondary+forests,+Northeast+China&btnG=&hl=en&as_sdt=0%2C5"
